Catégorie : Toutes catégories

Semaine,flu: (Californie),difficulty sleeping: (Californie),vomiting: (Californie),abdominal pain: (Californie),influenza: (Californie)
2017-08-06,4,< 1,2,2,< 1
2017-08-13,5,0,2,2,< 1
2017-08-20,5,0,2,2,1
2017-08-27,5,0,2,2,< 1
2017-09-03,7,0,2,2,1
2017-09-10,9,0,2,2,1
2017-09-17,10,0,2,2,1
2017-09-24,14,0,2,2,1
2017-10-01,14,0,2,2,1
2017-10-08,14,0,2,2,1
2017-10-15,13,0,2,2,1
2017-10-22,13,0,2,2,1
2017-10-29,12,0,2,2,1
2017-11-05,12,0,2,2,1
2017-11-12,11,0,2,2,1
2017-11-19,10,0,3,2,1
2017-11-26,11,0,2,2,1
2017-12-03,13,0,3,2,1
2017-12-10,14,0,3,2,1
2017-12-17,21,0,4,2,2
2017-12-24,36,0,4,2,4
2017-12-31,51,0,4,2,5
2018-01-07,60,0,3,2,5
2018-01-14,59,0,3,2,5
2018-01-21,53,0,3,2,4
2018-01-28,47,0,3,2,4
2018-02-04,40,0,3,2,4
2018-02-11,33,0,2,2,3
2018-02-18,23,< 1,2,2,2
2018-02-25,19,0,3,2,2
2018-03-04,16,0,2,2,2
2018-03-11,14,0,2,2,2
2018-03-18,11,0,2,2,1
2018-03-25,11,0,2,2,1
2018-04-01,9,0,2,2,1
2018-04-08,8,0,2,2,1
2018-04-15,7,0,2,2,1
2018-04-22,7,0,2,2,1
2018-04-29,6,0,2,2,1
2018-05-06,6,0,2,2,1
2018-05-13,5,0,2,2,1
2018-05-20,5,0,2,2,1
2018-05-27,5,0,2,2,< 1
2018-06-03,5,0,2,2,< 1
2018-06-10,5,0,2,2,< 1
2018-06-17,5,0,2,2,< 1
2018-06-24,4,0,2,2,< 1
2018-07-01,4,0,2,2,< 1
2018-07-08,4,0,2,2,< 1
2018-07-15,4,0,2,2,< 1
2018-07-22,4,0,2,2,< 1
2018-07-29,4,0,2,2,< 1
2018-08-05,4,0,2,2,< 1
2018-08-12,5,0,2,2,< 1
2018-08-19,6,0,2,2,< 1
2018-08-26,7,0,2,2,1
2018-09-02,10,0,2,2,1
2018-09-09,10,0,2,2,1
2018-09-16,13,0,2,2,1
2018-09-23,17,0,2,2,1
2018-09-30,20,0,2,2,1
2018-10-07,20,0,2,2,1
2018-10-14,20,0,2,2,1
2018-10-21,18,0,2,2,1
2018-10-28,16,0,3,2,1
2018-11-04,14,0,2,2,1
2018-11-11,13,0,3,2,1
2018-11-18,12,0,3,2,1
2018-11-25,13,0,3,2,1
2018-12-02,13,0,2,2,1
2018-12-09,12,0,3,2,1
2018-12-16,13,0,3,2,1
2018-12-23,16,0,3,2,1
2018-12-30,19,0,3,2,2
2019-01-06,21,0,3,2,2
2019-01-13,14,0,2,2,2
2019-01-20,13,0,2,2,2
2019-01-27,14,0,2,2,2
2019-02-03,12,0,2,2,2
2019-02-10,13,0,2,2,2
2019-02-17,14,0,3,2,2
2019-02-24,14,0,2,2,2
2019-03-03,13,0,2,2,2
2019-03-10,13,0,2,2,2
2019-03-17,13,0,2,2,2
2019-03-24,12,0,2,2,2
2019-03-31,10,0,2,2,2
2019-04-07,9,0,2,2,1
2019-04-14,8,0,2,2,1
2019-04-21,7,0,2,2,1
2019-04-28,7,0,2,2,1
2019-05-05,7,0,2,2,1
2019-05-12,6,0,2,2,1
2019-05-19,6,0,2,2,1
2019-05-26,6,0,2,2,< 1
2019-06-02,6,0,2,2,1
2019-06-09,5,0,2,2,< 1
2019-06-16,5,0,2,2,< 1
2019-06-23,5,0,2,2,1
2019-06-30,4,0,2,2,< 1
2019-07-07,5,0,2,2,1
2019-07-14,5,0,2,2,1
2019-07-21,4,0,2,2,< 1
2019-07-28,4,< 1,2,2,< 1
2019-08-04,5,0,2,2,< 1
2019-08-11,5,0,2,2,< 1
2019-08-18,6,0,2,2,1
2019-08-25,7,0,2,2,1
2019-09-01,8,0,2,2,1
2019-09-08,10,0,2,2,1
2019-09-15,13,0,2,2,1
2019-09-22,19,0,2,2,1
2019-09-29,21,0,2,2,1
2019-10-06,23,0,2,2,1
2019-10-13,21,0,2,2,1
2019-10-20,19,0,2,2,1
2019-10-27,16,0,2,2,1
2019-11-03,18,0,3,2,1
2019-11-10,16,0,3,2,1
2019-11-17,16,0,3,2,1
2019-11-24,13,0,3,2,1
2019-12-01,15,0,3,2,2
2019-12-08,17,0,3,2,2
2019-12-15,18,0,3,2,2
2019-12-22,22,0,3,2,2
2019-12-29,25,0,3,2,3
2020-01-05,25,0,3,2,3
2020-01-12,29,0,3,2,5
2020-01-19,35,0,3,2,5
2020-01-26,45,0,2,2,7
2020-02-02,37,0,2,2,5
2020-02-09,31,0,3,2,5
2020-02-16,26,0,3,2,4
2020-02-23,49,0,3,2,6
2020-03-01,63,0,3,2,7
2020-03-08,100,0,3,2,9
2020-03-15,93,0,3,2,9
2020-03-22,75,0,3,2,7
2020-03-29,60,0,2,2,6
2020-04-05,46,0,2,2,5
2020-04-12,33,0,2,2,4
2020-04-19,32,0,2,2,3
2020-04-26,28,< 1,2,2,3
2020-05-03,22,0,2,2,2
2020-05-10,21,0,2,2,2
2020-05-17,18,0,2,2,2
2020-05-24,17,0,2,2,2
2020-05-31,7,< 1,2,2,1
2020-06-07,8,< 1,2,2,1
2020-06-14,9,0,2,2,1
2020-06-21,13,0,2,2,1
2020-06-28,23,0,3,2,2
2020-07-05,14,0,2,2,1
2020-07-12,17,< 1,2,2,2
2020-07-19,15,0,3,2,1
2020-07-26,12,< 1,3,2,1
2020-08-02,13,0,2,2,1
2020-08-09,14,0,2,2,1
2020-08-16,12,< 1,2,2,1
2020-08-23,13,0,2,2,1
2020-08-30,17,0,2,2,1
2020-09-06,21,0,2,2,1
2020-09-13,26,0,2,2,1
2020-09-20,30,0,2,2,1
2020-09-27,30,0,2,2,1
2020-10-04,34,0,2,2,1
2020-10-11,26,0,2,2,1
2020-10-18,25,0,2,2,1
2020-10-25,25,0,2,2,1
2020-11-01,15,0,2,1,1
2020-11-08,20,0,2,2,1
2020-11-15,23,0,2,2,2
2020-11-22,16,0,2,2,1
